smiles,neg_log2_mic
O=C1COc2ccc(CNC34CCC(CCc5c(Cl)cnc6ccc(=O)n(CCO)c56)(CC3)OC4)nc2N1,-1.0
CNn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN4CCC3CC4)cc21,1.3584539709124763
Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NN)c3csc(N)n3)C2SC1,0.7369655941662062
CCOC(=O)c1cn(Cc2ccc(Cl)c(Cl)c2)c2cc(F)c(F)cc2c1=O,-1.0
N#CC(C(=O)N1NC(=O)C2C3c4ccccc4C(c4ccccc43)C2C1=O)=C1SC=C(c2ccccc2)N1c1ccccc1,-2.584962500721156
CCCCCCn1cc(C(=O)OCC)c(=O)c2cc(F)c([C-](C#N)C(=O)OCC)cc21,1.0
CC(N)C1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C1,6.265344566520995
Nc1nc(-c2ccc(NC(=O)c3ccccc3)cc2)c(N=Nc2cccc([N+](=O)[O-])c2)s1,4.0
COc1cnc2ccc(F)c(C(O)C(O)C3CCC(NCc4ccc5c(n4)NC(=O)CS5)CO3)c2n1,7.965784284662087
O=Cc1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,-1.6461626571578936
NC1CCN2c3c(F)cc4c(=O)c(C(=O)O)cn(C5CC5)c4c3CCCCC12,-1.0
COc1ccc(N=C(C)C2=C(O)C(N)C3Cc4c(c(O)c5c(O)c(C)ccc5c4C)C(=O)C3(O)C2=O)cc1,-4.643856189774724
COc1ccc2cc1Oc1ccc(cc1)CCC(NCCc1ccc(F)cc1)CCCC2,-2.643856189774725
O=c1cc(Cl)sn1-c1ccc(C(F)(F)F)cc1,-4.643856189774724
COC(=O)C1(C)CCCC2(C)c3ccc(C(C)C)c(NC(=O)Cn4cc(-c5cc(Cl)cc(Cl)c5)nn4)c3CCC12,-4.643856189774724
CC(=O)c1c(OCCCNCCN(C)C)c2c(c3c1OC(C)(CCC=C(C)C)C=C3)OC(C)(CCC=C(C)C)C=C2,-1.0
N#Cc1cnn(-c2ccc(Cl)cc2)c1NC(=O)c1cc2cc(Br)ccc2oc1=O,-3.0
O=c1c2ccccc2nc(C=Cc2cccc([N+](=O)[O-])c2)n1-c1cccc(O)c1,-4.0
CC(=NNC(=N)N)c1sc(NN=Cc2cc(O)cc(O)c2)nc1C,-5.0
Cc1ccc2c(c1)cc(C1CC(c3ccccc3)=NN1C(N)=S)c1nnnn12,-1.6438561897747246
Cc1ccc(C(=O)CSc2nnc(N3CCN(c4cc5c(cc4F)c(=O)c(C(=O)O)cn5C4CC4)CC3)s2)cc1,-4.0
Clc1cccc(CON=C2c3cccc(Br)c3CCC2Cn2ccnc2)c1,1.3547594873547346
C=C1CCOC2(C(O)C(C)(O)CO)NC(=O)C1(NO)NC2=O,-5.0
CCON=C1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)CC1(C)CN,-3.0
CCCON=C1CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1CN,6.965784284662087
O=C(Cc1ccc(F)cc1)Nc1ccc(-c2nc3ccccc3s2)cc1,5.058893689053568
Nc1c(-c2ccc(Cl)cc2)n[nH]c1C(=O)NN=Cc1ccccc1,-4.906890595608519
CC1Sc2c(C(=O)O)c(=O)c3cc(F)c(N4CCNC(=O)C4)cc3n21,1.3584539709124763
COc1ccc2cc3[n+](cc2c1OCCN(CCn1cncn1)Cc1ccccc1F)CCc1cc2c(cc1-3)OCO2,-2.0
COc1ccc(Cn2c(Cl)nc3c(-c4ccco4)ncnc32)cc1,-5.0
Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)s3)ccc2[nH]1,-4.643856189774724
CCC(C)C(=O)C1C(=O)OC2(C)C(=O)C=C3C=C(C)OC=C3C12,-3.321928094887362
CC(C)(C)c1cc(-n2cc(C(=O)NCCNC(=N)N)nn2)cc(C(C)(C)C)c1,-4.0
Oc1ccc(CCn2c(-c3cccc(-c4ccccc4)c3)n[nH]c2=S)c(O)c1,-5.0
NC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2[N+](=O)[O-])C1,2.321928094887362
